Date,16-4-2021
Version,"6,1"
Patient Name,Anonymous
Patient ID,None
Sex,Female
Age,9-year-old
Weight,0
Height,0
Procedure,Colique
Sampling Rate,5
Equipment,AS3 S5 Datex (Com)
,,11,12,13,14,16,17,18,41,62,61,63,69,68,70,72,71,82,83,84,85,86,87,C6,C7,C8,C9,88,CA,CC,CD,CE,CF,D0,D1,D2,101,104,105,10D,10E
Time,,IP1_S,IP1_D,IP1_M,IP1PR,IP2_S,IP2_D,IP2_M,T1,CO2_Insp,CO2_Exp,CO2 RR,O2_Insp,O2_Exp,AA  LB,AA_Insp,AA_Exp,PPeak,Peep,PPlat,TV_Insp,TV_Exp,Compli,ipeep,pmean,raw,MinV_Insp,MinV_Exp,epeep,I:E,Inp_T,Exp_T,S_comp,Spplat,peepe,peepi,~ECG1,~INVP1,~INVP2,~AWP,~Flow
,,mmHg  ,mmHg  ,mmHg  ,/min  ,mmHg  ,mmHg  ,mmHg  ,C     ,%     ,%     ,%     ,%     ,%     ,      ,%     ,%     ,cmH2O ,cmH2O ,cmH2o ,ml    ,ml    ,cmH20 ,cmH2o ,cmH2o ,cmH2o ,L/min ,L/min ,cmH2o ,      ,S     ,S     ,ml/cmH,ml/cmH,ml/cmH,ml/cmH,10uV  ,mmHg  ,mmHg  ,cmH2O ,L/min 
08:44:54,,-8.80,-8.80,-8.80,0.00,,,,,0.00,4.86,7.00,81.64,76.58,4.00,1.59,1.23,34.60,13.00,31.20,1325.80,1099.00,60.40,8.70,10.30,6.45,9.24,9.40,4.30,308.00,2.12,6.53,,,,,300.00,300.00,300.00,300.00,300.00
08:44:59,,-8.80,-8.80,-8.80,0.00,,,,,0.11,4.89,7.00,82.50,76.32,4.00,1.71,1.18,42.90,4.70,38.60,1173.20,1525.90,45.00,0.00,12.20,6.45,9.16,9.60,4.70,354.00,1.74,6.16,,,,,300.00,300.00,300.00,300.00,300.00
08:45:04,,-8.80,-8.88,-8.80,0.00,,,,,0.11,4.89,7.00,82.50,76.32,4.00,1.71,1.18,42.90,4.70,38.60,1173.20,1525.90,45.00,0.00,12.20,2.93,9.16,9.60,4.70,354.00,1.74,6.16,,,,,300.00,300.00,300.00,300.00,300.00
08:45:09,,-8.80,-8.91,-8.80,0.00,,,,,0.00,4.87,7.00,81.91,76.37,4.00,1.65,1.22,33.40,5.20,30.30,1292.40,1404.90,56.00,1.00,10.60,2.93,9.20,9.65,4.20,340.00,1.90,6.47,,,,,300.00,300.00,300.00,300.00,300.00
08:45:14,,-8.80,-8.91,-8.80,0.00,,,,,0.00,4.87,7.00,81.91,76.37,4.00,1.65,1.22,39.10,6.50,35.90,1212.90,1300.50,44.20,1.90,11.60,1.25,9.12,9.60,4.60,353.00,1.84,6.50,,,,,300.00,300.00,300.00,300.00,300.00
08:45:19,,-8.80,-8.98,-8.81,0.00,,,,,0.00,4.90,7.00,82.24,76.38,4.00,1.72,1.21,39.10,6.50,35.90,1212.90,1300.50,44.20,1.90,11.60,1.25,9.12,9.60,4.60,353.00,1.84,6.50,,,,,300.00,300.00,300.00,300.00,300.00
08:45:24,,-8.80,-9.03,-8.85,0.00,,,,,0.00,5.01,7.00,82.58,76.70,4.00,1.73,1.25,37.10,5.20,33.40,1259.10,1215.70,43.10,1.00,11.20,3.09,9.11,9.49,4.20,351.00,1.83,6.44,,,,,300.00,300.00,300.00,300.00,300.00
08:45:29,,-8.80,-9.03,-8.88,0.00,,,,,0.00,5.01,7.00,82.58,76.70,4.00,1.73,1.25,37.10,5.20,33.40,1259.10,1215.70,43.10,1.00,11.20,4.23,9.11,9.49,4.20,351.00,1.83,6.44,,,,,300.00,300.00,300.00,300.00,300.00
