Date,01-1-2021
Version,6.1
Patient Name, forTesting
Patient ID, ENVA
Sex,Male
Age,5-year-old
Weight,140
Height,0.000000
Procedure,"suprise"
Sampling Rate,5
Equipment,AS3 S5 Datex (Com)
,,11,12,13,14,16,17,18,41,62,61,63,69,68,70,72,71,82,83,84,85,86,87,C6,C7,C8,C9,88,CA,CC,CD,CE,CF,D0,D1,D2,101,104,105,10D,10E
Time,,IP1_S,IP1_D,IP1_M,IP1PR,IP2_S,IP2_D,IP2_M,T1,CO2_Insp,CO2_Exp,CO2 RR,O2_Insp,O2_Exp,AA  LB,AA_Insp,AA_Exp,PPeak,Peep,PPlat,TV_Insp,TV_Exp,Compli,ipeep,pmean,raw,MinV_Insp,MinV_Exp,epeep,I:E,Inp_T,Exp_T,S_comp,Spplat,peepe,peepi,~ECG1,~INVP1,~INVP2,~AWP,~Flow
,,mmHg  ,mmHg  ,mmHg  ,/min  ,mmHg  ,mmHg  ,mmHg  ,C     ,%     ,%     ,%     ,%     ,%     ,      ,%     ,%     ,cmH2O ,cmH2O ,cmH2o ,ml    ,ml    ,cmH20 ,cmH2o ,cmH2o ,cmH2o ,L/min ,L/min ,cmH2o ,      ,S     ,S     ,ml/cmH,ml/cmH,ml/cmH,ml/cmH,10uV  ,mmHg  ,mmHg  ,cmH2O ,L/min 
14:27:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:26,,,,,,,,,,0.00,0.00,,19.70,19.70,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:31,,,,,,,,,,0.00,0.00,0.00,19.70,19.70,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:36,,,,,,,,,,0.00,0.00,0.00,19.70,19.70,,,,,,,,,,,,,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:41,,,,,,,,,,0.00,0.00,0.00,19.70,19.70,,,,-0.20,-0.20,,,,,0.00,-0.20,,,,-0.20,0.00,,,,,,,300.00,300.00,300.00,300.00,300.00
14:27:46,,,,,,,,,,0.00,0.00,0.00,19.55,19.55,,,,-0.20,-0.20,,,,,0.00,-0.20,,,,-0.20,0.00,,,,,,,300.00,300.00,300.00,300.00,300.00
